posting_date,amount,account,account_name,cost_center,profit_center,vendor,customer,document_no,text
2025-05-26,-14031.69,5010,Material Verbrauchsmittel,CC300,PC-ADMIN,Merck,,BK100239,Pipettenspitzen
2025-05-26,-14460.24,6800,Fortbildung,CC100,PC-DIAG,Springer Verlag,,BK100380,Zertifizierung
2025-05-26,-6705.75,6900,Sonstige Aufwendungen,CC200,PC-DIAG,Diverse,,BK100392,Bürobedarf
2025-05-27,16798.93,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Charité Berlin,RE100011,Projektabrechnung Q2
2025-05-27,4683.56,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Universitätsklinikum München,RE100034,Beratungsleistung
2025-05-27,45200.12,4000,Umsatzerlöse Labordiagnostik,CC300,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100128,Laboranalysen Mai
2025-05-27,-32310.23,5000,Material Reagenzien,CC200,PC-TRAIN,Siemens Healthineers,,BK100217,Chemikalien Q2
2025-05-27,-7830.23,5010,Material Verbrauchsmittel,CC300,PC-ADMIN,Merck,,BK100252,Verbrauchsmaterial Mai
2025-05-27,-6253.65,6300,IT-Kosten,CC400,PC-ADMIN,IT-Service Partner,,BK100301,SAP Lizenzen Q2
2025-05-27,-1239.69,6600,Versicherungen,CC400,PC-CONSULT,Allianz,,BK100358,Geräteversicherung
2025-05-27,-9251.78,6900,Sonstige Aufwendungen,CC500,PC-DIAG,Diverse,,BK100395,Sonstiges Mai
2025-05-28,6472.0,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Charité Berlin,RE100043,Laboranalysen Mai
2025-05-28,7431.38,4100,Sonstige Erlöse,CC300,PC-DIAG,,Uniklinik Köln,RE100044,Laboranalysen Mai
2025-05-28,14392.84,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Praxis Dr. Weber,RE100088,Beratungsleistung
2025-05-28,95652.22,4000,Umsatzerlöse Labordiagnostik,CC300,PC-DIAG,,Uniklinik Köln,RE100116,Projektabrechnung Q2
2025-05-28,-3521.26,6200,Wartung Geräte,CC200,PC-ADMIN,Siemens Healthineers,,BK100282,Große Revision Cobas
2025-06-01,12347.64,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,Städtisches Klinikum Stuttgart,RE100062,Projektabrechnung Q2
2025-06-01,11169.07,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,MVZ Labor Bremen,RE100159,Beratungsleistung
2025-06-01,-10534.9,5020,Fremdleistungen Labor,CC200,PC-CONSULT,Synlab,,BK100267,Externe Laborleistung
2025-06-01,-7500.36,6200,Wartung Geräte,CC400,PC-TRAIN,TechService GmbH,,BK100286,Inspektion Automat
2025-06-01,-12652.43,6200,Wartung Geräte,CC500,PC-ADMIN,TechService GmbH,,BK100293,Große Revision Cobas
2025-06-01,-5961.04,6300,IT-Kosten,CC100,PC-DIAG,Microsoft,,BK100302,Serverkosten Juni
2025-06-02,3947.46,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Uniklinik Köln,RE100135,Diagnostik Auftrag 100135
2025-06-02,3832.19,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100160,Beratungsleistung
2025-06-02,-39652.17,5000,Material Reagenzien,CC400,PC-ADMIN,Roche Diagnostics,,BK100178,Reagenzien Juni
2025-06-02,-5518.61,5000,Material Reagenzien,CC500,PC-ADMIN,Abbott,,BK100219,Lieferung Testkits
2025-06-02,-7316.88,6200,Wartung Geräte,CC200,PC-DIAG,Siemens Healthineers,,BK100298,Wartung Analysegerät
2025-06-02,-17112.2,6300,IT-Kosten,CC300,PC-ADMIN,Microsoft,,BK100313,Serverkosten Juni
2025-06-03,-48570.28,5000,Material Reagenzien,CC400,PC-TRAIN,Roche Diagnostics,,BK100185,Lieferung Testkits
2025-06-04,-9211.66,5000,Material Reagenzien,CC100,PC-TRAIN,Siemens Healthineers,,BK100204,Chemikalien Q2
2025-06-04,-7577.4,5000,Material Reagenzien,CC200,PC-TRAIN,Siemens Healthineers,,BK100215,Reagenzien Juni
2025-06-04,-8520.36,6700,Marketing,CC100,PC-ADMIN,Agentur Kreativ,,BK100363,Online Kampagne Juni
2025-06-04,-15559.38,6800,Fortbildung,CC400,PC-ADMIN,Springer Verlag,,BK100383,Zertifizierung
2025-06-05,2416.23,4100,Sonstige Erlöse,CC300,PC-CONSULT,,Uniklinik Köln,RE100052,Beratungsleistung
2025-06-05,94579.09,4000,Umsatzerlöse Labordiagnostik,CC300,PC-CONSULT,,Praxis Dr. Weber,RE100137,Rahmenvertrag Abrechnung
2025-06-05,-9478.19,5020,Fremdleistungen Labor,CC500,PC-CONSULT,Synlab,,BK100260,Auftragsanalyse
2025-06-05,-182236.48,6000,Personalkosten Gehälter,CC200,PC-ADMIN,Lohnbüro Müller,,BK100273,Lohnabrechnung Juni
2025-06-05,-13823.82,6200,Wartung Geräte,CC400,PC-ADMIN,Siemens Healthineers,,BK100281,Wartung Analysegerät
2025-06-06,23990.13,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,Universitätsklinikum München,RE100012,Rahmenvertrag Abrechnung
2025-06-06,45830.61,4000,Umsatzerlöse Labordiagnostik,CC300,PC-TRAIN,,MVZ Labor Bremen,RE100030,Projektabrechnung Q2
2025-06-06,-205890.37,6000,Personalkosten Gehälter,CC100,PC-CONSULT,Lohnbüro Müller,,BK100271,Lohnabrechnung Juni
2025-06-06,-2140.69,6400,Reisekosten,CC100,PC-ADMIN,Deutsche Bahn,,BK100326,Kongress Teilnahme
2025-06-07,3721.85,4100,Sonstige Erlöse,CC100,PC-CONSULT,,Charité Berlin,RE100027,Projektabrechnung Q2
2025-06-07,-12501.74,5000,Material Reagenzien,CC400,PC-CONSULT,Beckman Coulter,,BK100205,Lieferung Testkits
2025-06-08,14052.46,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Charité Berlin,RE100117,Schulung Laborpersonal
2025-06-08,-8359.14,6200,Wartung Geräte,CC100,PC-CONSULT,Siemens Healthineers,,BK100291,Service Zentrifuge
2025-06-09,4423.68,4100,Sonstige Erlöse,CC100,PC-TRAIN,,Krankenhaus Nordwest,RE100130,Laboranalysen Juni
2025-06-09,-5505.64,6400,Reisekosten,CC300,PC-TRAIN,Deutsche Bahn,,BK100319,Kundenbesuch
2025-06-10,-7459.35,6300,IT-Kosten,CC300,PC-TRAIN,SAP Deutschland,,BK100303,Serverkosten Juni
2025-06-10,-9811.29,6400,Reisekosten,CC300,PC-ADMIN,Lufthansa,,BK100331,Dienstreise Juni
2025-06-10,-9420.05,6500,Beratungskosten,CC500,PC-CONSULT,McKinsey,,BK100340,Strategieberatung
2025-06-11,4694.01,4100,Sonstige Erlöse,CC300,PC-CONSULT,,Krankenhaus Nordwest,RE100029,Projektabrechnung Q2
2025-06-11,5979.16,4020,Umsatzerlöse Schulungen,CC200,PC-DIAG,,Praxis Dr. Weber,RE100079,Diagnostik Auftrag 100079
2025-06-11,83176.4,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,MVZ Labor Bremen,RE100119,Laboranalysen Juni
2025-06-11,23952.75,4000,Umsatzerlöse Labordiagnostik,CC200,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100138,Diagnostik Auftrag 100138
2025-06-11,-9310.63,5000,Material Reagenzien,CC500,PC-DIAG,Beckman Coulter,,BK100206,Reagenzien Juni
2025-06-11,-5935.61,6400,Reisekosten,CC500,PC-TRAIN,Deutsche Bahn,,BK100327,Kundenbesuch
2025-06-11,-16065.18,6900,Sonstige Aufwendungen,CC500,PC-DIAG,Diverse,,BK100393,Kleinmaterial
2025-06-12,29746.89,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Uniklinik Köln,RE100042,Beratungsleistung
2025-06-12,-10342.57,6200,Wartung Geräte,CC200,PC-ADMIN,Siemens Healthineers,,BK100288,Große Revision Cobas
2025-06-12,-4582.85,6500,Beratungskosten,CC400,PC-CONSULT,KPMG,,BK100348,Prozessoptimierung
2025-06-12,-7149.94,6700,Marketing,CC500,PC-CONSULT,Google Ads,,BK100370,Messebeteiligung
2025-06-13,88106.79,4000,Umsatzerlöse Labordiagnostik,CC300,PC-TRAIN,,MVZ Labor Bremen,RE100084,Diagnostik Auftrag 100084
2025-06-13,11454.46,4020,Umsatzerlöse Schulungen,CC300,PC-DIAG,,Praxis Dr. Weber,RE100112,Beratungsleistung
2025-06-13,21512.89,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Krankenhaus Nordwest,RE100166,Diagnostik Auftrag 100166
2025-06-13,-12432.97,6200,Wartung Geräte,CC200,PC-ADMIN,Siemens Healthineers,,BK100292,Wartung Analysegerät
2025-06-13,-14168.22,6200,Wartung Geräte,CC500,PC-DIAG,Roche Diagnostics,,BK100295,Inspektion Automat
2025-06-13,-7805.18,6700,Marketing,CC100,PC-ADMIN,Agentur Kreativ,,BK100368,Messebeteiligung
2025-06-14,13032.45,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100026,Schulung Laborpersonal
2025-06-14,7025.7,4100,Sonstige Erlöse,CC200,PC-TRAIN,,Uniklinik Köln,RE100065,Schulung Laborpersonal
2025-06-14,-38552.64,5000,Material Reagenzien,CC500,PC-CONSULT,Beckman Coulter,,BK100208,Lieferung Testkits
2025-06-15,16112.97,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Krankenhaus Nordwest,RE100144,Projektabrechnung Q2
2025-06-15,-19355.05,6300,IT-Kosten,CC200,PC-TRAIN,IT-Service Partner,,BK100304,Microsoft 365
2025-06-15,-3567.18,6500,Beratungskosten,CC200,PC-ADMIN,KPMG,,BK100342,Gutachten
2025-06-15,-12736.86,6600,Versicherungen,CC200,PC-TRAIN,AXA,,BK100352,Geräteversicherung
2025-06-15,-11621.47,6700,Marketing,CC500,PC-CONSULT,Google Ads,,BK100369,Online Kampagne Juni
2025-06-17,5664.01,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100019,Schulung Laborpersonal
2025-06-17,9771.66,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Universitätsklinikum München,RE100146,Laboranalysen Juni
2025-06-17,-13037.77,5020,Fremdleistungen Labor,CC300,PC-CONSULT,Bioscientia,,BK100264,Auftragsanalyse
2025-06-17,-9741.34,6400,Reisekosten,CC100,PC-CONSULT,Booking.com,,BK100317,Dienstreise Juni
2025-06-18,13145.03,4020,Umsatzerlöse Schulungen,CC100,PC-CONSULT,,Charité Berlin,RE100162,Schulung Laborpersonal
2025-06-18,-32772.48,5000,Material Reagenzien,CC300,PC-ADMIN,Abbott,,BK100213,Reagenzien Juni
2025-06-18,-2389.75,5010,Material Verbrauchsmittel,CC300,PC-DIAG,Merck,,BK100247,Pipettenspitzen
2025-06-18,-9969.98,5020,Fremdleistungen Labor,CC400,PC-CONSULT,Synlab,,BK100257,Externe Laborleistung
2025-06-18,-16037.86,6700,Marketing,CC200,PC-TRAIN,Agentur Kreativ,,BK100366,Messebeteiligung
2025-06-19,7693.61,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Uniklinik Köln,RE100020,Beratungsleistung
2025-06-19,-42706.95,5000,Material Reagenzien,CC400,PC-DIAG,Beckman Coulter,,BK100214,Nachbestellung Assays
2025-06-19,-1864.82,5010,Material Verbrauchsmittel,CC500,PC-DIAG,VWR International,,BK100238,Handschuhe Nachbestellung
2025-06-19,-8697.55,5020,Fremdleistungen Labor,CC100,PC-TRAIN,Sonic Healthcare,,BK100256,Fremdanalyse Spezialtest
2025-06-19,-41376.23,6010,Personalkosten Sozialabgaben,CC100,PC-CONSULT,Lohnbüro Müller,,BK100274,Sozialabgaben Juni 2025
2025-06-19,-13347.44,6400,Reisekosten,CC300,PC-TRAIN,Booking.com,,BK100329,Dienstreise Juni
2025-06-19,-8690.68,6500,Beratungskosten,CC200,PC-TRAIN,McKinsey,,BK100332,Strategieberatung
2025-06-20,24154.19,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,Universitätsklinikum München,RE100003,Beratungsleistung
2025-06-20,8167.39,4020,Umsatzerlöse Schulungen,CC100,PC-CONSULT,,Praxis Dr. Weber,RE100009,Projektabrechnung Q2
2025-06-20,-38725.6,5000,Material Reagenzien,CC500,PC-TRAIN,Abbott,,BK100224,Chemikalien Q2
2025-06-20,-3944.85,6700,Marketing,CC200,PC-ADMIN,Agentur Kreativ,,BK100364,Online Kampagne Juni
2025-06-20,-9417.23,6800,Fortbildung,CC500,PC-TRAIN,Springer Verlag,,BK100385,Fachkongress
2025-06-21,13332.58,4020,Umsatzerlöse Schulungen,CC200,PC-DIAG,,Uniklinik Köln,RE100041,Laboranalysen Juni
2025-06-21,11552.89,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Krankenhaus Nordwest,RE100154,Beratungsleistung
2025-06-21,-36685.09,5000,Material Reagenzien,CC500,PC-DIAG,Beckman Coulter,,BK100177,Nachbestellung Assays
2025-06-21,-25499.5,5000,Material Reagenzien,CC500,PC-ADMIN,Siemens Healthineers,,BK100198,Chemikalien Q2
2025-06-21,-6707.47,6900,Sonstige Aufwendungen,CC100,PC-TRAIN,Diverse,,BK100394,Sonstiges Juni
2025-06-22,12279.95,4020,Umsatzerlöse Schulungen,CC300,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100076,Rahmenvertrag Abrechnung
2025-06-22,-43464.53,5000,Material Reagenzien,CC100,PC-CONSULT,Siemens Healthineers,,BK100195,Reagenzien Juni
2025-06-22,-23248.32,5000,Material Reagenzien,CC100,PC-CONSULT,Abbott,,BK100201,Nachbestellung Assays
2025-06-22,-6879.2,5000,Material Reagenzien,CC400,PC-TRAIN,Beckman Coulter,,BK100218,Chemikalien Q2
2025-06-23,21140.1,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Uniklinik Köln,RE100033,Schulung Laborpersonal
2025-06-23,74491.79,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Krankenhaus Nordwest,RE100048,Laboranalysen Juni
2025-06-23,5090.43,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,Städtisches Klinikum Stuttgart,RE100114,Rahmenvertrag Abrechnung
2025-06-23,18216.37,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Uniklinik Köln,RE100115,Rahmenvertrag Abrechnung
2025-06-23,-15245.06,6500,Beratungskosten,CC400,PC-DIAG,McKinsey,,BK100336,Strategieberatung
2025-06-24,-29707.92,5000,Material Reagenzien,CC100,PC-ADMIN,Abbott,,BK100181,Reagenzien Juni
2025-06-24,-17286.12,5020,Fremdleistungen Labor,CC500,PC-DIAG,Synlab,,BK100258,Externe Laborleistung
2025-06-24,-10186.56,5020,Fremdleistungen Labor,CC200,PC-ADMIN,Bioscientia,,BK100261,Fremdanalyse Spezialtest
2025-06-24,-13081.17,6500,Beratungskosten,CC500,PC-TRAIN,KPMG,,BK100343,Prozessoptimierung
2025-06-25,10542.85,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Krankenhaus Nordwest,RE100067,Diagnostik Auftrag 100067
2025-06-25,7688.78,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Charité Berlin,RE100069,Beratungsleistung
2025-06-25,1347.56,4100,Sonstige Erlöse,CC100,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100151,Rahmenvertrag Abrechnung
2025-06-25,5260.32,4020,Umsatzerlöse Schulungen,CC100,PC-DIAG,,Krankenhaus Nordwest,RE100158,Rahmenvertrag Abrechnung
2025-06-25,-13011.68,6900,Sonstige Aufwendungen,CC500,PC-DIAG,Diverse,,BK100396,Kleinmaterial
2025-06-26,25479.03,4010,Umsatzerlöse Beratung,CC100,PC-DIAG,,MVZ Labor Bremen,RE100153,Projektabrechnung Q2
2025-06-26,26530.59,4010,Umsatzerlöse Beratung,CC200,PC-TRAIN,,Praxis Dr. Weber,RE100161,Projektabrechnung Q2
2025-06-26,28004.81,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Praxis Dr. Weber,RE100163,Rahmenvertrag Abrechnung
2025-06-26,-17475.64,5010,Material Verbrauchsmittel,CC100,PC-CONSULT,Merck,,BK100242,Handschuhe Nachbestellung
2025-06-26,-9690.75,6200,Wartung Geräte,CC500,PC-ADMIN,TechService GmbH,,BK100289,Inspektion Automat
2025-06-26,-13248.27,6700,Marketing,CC200,PC-DIAG,Google Ads,,BK100367,Messebeteiligung
2025-06-27,62919.16,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Universitätsklinikum München,RE100087,Schulung Laborpersonal
2025-06-27,35718.12,4000,Umsatzerlöse Labordiagnostik,CC300,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100105,Projektabrechnung Q2
2025-06-27,-10135.27,5000,Material Reagenzien,CC500,PC-ADMIN,Beckman Coulter,,BK100209,Nachbestellung Assays
2025-06-27,-6243.19,6900,Sonstige Aufwendungen,CC100,PC-ADMIN,Diverse,,BK100390,Sonstiges Juni
2025-06-28,7759.39,4100,Sonstige Erlöse,CC200,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100134,Schulung Laborpersonal
2025-06-28,-24769.34,5000,Material Reagenzien,CC400,PC-TRAIN,Roche Diagnostics,,BK100194,Lieferung Testkits
2025-06-28,-23771.56,5000,Material Reagenzien,CC100,PC-ADMIN,Beckman Coulter,,BK100196,Lieferung Testkits
2025-06-28,-10738.5,5010,Material Verbrauchsmittel,CC200,PC-TRAIN,VWR International,,BK100245,Pipettenspitzen
2025-06-28,-34093.39,6100,Miete Laborräume,CC200,PC-DIAG,Immobilien AG,,BK100279,Nebenkosten Q2
2025-06-28,-6219.93,6300,IT-Kosten,CC300,PC-ADMIN,SAP Deutschland,,BK100314,Serverkosten Juni
2025-06-28,-7917.43,6700,Marketing,CC100,PC-ADMIN,Agentur Kreativ,,BK100373,Messebeteiligung
